admin0_code,date,cases,deaths
AF,2020-02-24,1,0
AF,2020-02-25,1,0
AF,2020-02-26,1,0
AF,2020-02-27,1,0
AF,2020-02-28,1,0
AF,2020-02-29,1,0
AF,2020-03-01,1,0
AF,2020-03-02,1,0
AF,2020-03-03,1,0
AF,2020-03-04,1,0
AF,2020-03-05,1,0
AF,2020-03-06,1,0
AF,2020-03-07,4,0
AF,2020-03-08,4,0
AF,2020-03-09,4,0
AF,2020-03-10,4,0
AF,2020-03-11,7,0
AF,2020-03-12,7,0
AF,2020-03-13,7,0
AF,2020-03-14,10,0
AF,2020-03-15,16,0
AF,2020-03-16,21,0
AF,2020-03-17,22,0
AF,2020-03-18,22,0
AF,2020-03-19,22,0
AF,2020-03-20,24,0
AF,2020-03-21,24,0
AF,2020-03-22,34,0
AF,2020-03-23,40,1
AF,2020-03-24,42,1
AF,2020-03-25,74,1
AF,2020-03-26,80,2
AF,2020-03-27,91,2
AF,2020-03-28,106,3
AF,2020-03-29,114,4
AF,2020-03-30,114,4
AF,2020-03-31,166,4
AF,2020-04-01,192,4
AF,2020-04-02,235,4
AF,2020-04-03,269,5
AF,2020-04-04,270,5
AF,2020-04-05,299,7
AF,2020-04-06,337,7
AF,2020-04-07,367,11
AF,2020-04-08,423,14
AF,2020-04-09,484,15
AF,2020-04-10,521,15
AF,2020-04-11,521,15
AF,2020-04-12,555,18
AF,2020-04-13,665,21
AF,2020-04-14,714,23
AF,2020-04-15,784,25
AF,2020-04-16,794,29
AF,2020-04-17,845,30
AF,2020-04-18,908,30
AF,2020-04-19,996,33
AF,2020-04-20,996,33
AF,2020-04-21,1092,36
AF,2020-04-22,1176,40
AF,2020-04-23,1176,40
AF,2020-04-24,1226,40
AF,2020-04-25,1463,47
AF,2020-04-26,1463,49
AF,2020-04-27,1703,57
AF,2020-04-28,1827,60
AF,2020-04-29,1827,60
AF,2020-04-30,2171,64
AF,2020-05-01,2171,64
AF,2020-05-02,2469,72
AF,2020-05-03,2469,72
AF,2020-05-04,2469,72
AF,2020-05-05,3224,95
AF,2020-05-06,3392,104
AF,2020-05-07,3563,105
AF,2020-05-08,3563,105
AF,2020-05-09,4041,115
AF,2020-05-10,4402,119
AF,2020-05-11,4664,121
AF,2020-05-12,4967,127
AF,2020-05-13,5226,130
AF,2020-05-14,5339,136
AF,2020-05-15,6053,153
AF,2020-05-16,6402,168
AF,2020-05-17,6664,169
AF,2020-05-18,7072,173
AF,2020-05-19,7655,177
AF,2020-05-20,8145,187
AF,2020-05-21,8676,193
AF,2020-05-22,9216,205
AF,2020-05-23,9866,211
AF,2020-05-24,10582,218
AF,2020-05-25,11094,219
AF,2020-05-26,11831,220
AF,2020-05-27,12379,226
AF,2020-05-28,13016,235
AF,2020-05-29,13659,246
AF,2020-05-30,14443,248
AF,2020-05-31,15094,250
AF,2020-06-01,15750,265
AF,2020-06-02,16492,270
AF,2020-06-03,17267,294
AF,2020-06-04,17891,299
AF,2020-06-05,18969,309
AF,2020-06-06,19551,327
AF,2020-06-07,20342,357
AF,2020-06-08,20917,369
AF,2020-06-09,21222,376
AF,2020-06-10,22142,405
AF,2020-06-11,22890,426
AF,2020-06-12,23546,446
AF,2020-06-13,24102,451
AF,2020-06-14,24766,471
AF,2020-06-15,25527,476
AF,2020-06-16,25633,484
AF,2020-06-17,26874,504
AF,2020-06-18,27337,546
AF,2020-06-19,27878,548
AF,2020-06-20,28297,548
AF,2020-06-21,28833,581
AF,2020-06-22,29143,598
AF,2020-06-23,29481,618
AF,2020-06-24,29640,639
AF,2020-06-25,30175,675
AF,2020-06-26,30260,680
AF,2020-06-27,30616,703
AF,2020-06-28,30967,729
AF,2020-06-29,31238,733
AF,2020-06-30,31238,733
AF,2020-07-01,31762,774
AF,2020-07-02,32022,807
AF,2020-07-03,32324,819
AF,2020-07-04,32672,826
AF,2020-07-05,32951,864
AF,2020-07-06,33064,887
AF,2020-07-07,33384,920
AF,2020-07-08,33594,936
AF,2020-07-09,33653,937
AF,2020-07-10,34194,971
AF,2020-07-11,34351,975
AF,2020-07-12,34451,1010
AF,2020-07-13,34451,1010
AF,2020-07-14,34740,1045
AF,2020-07-15,34940,1094
AF,2020-07-16,35070,1113
AF,2020-07-17,35229,1147
AF,2020-07-18,35289,1147
AF,2020-07-19,35475,1181
AF,2020-07-20,35509,1183
AF,2020-07-21,35615,1184
AF,2020-07-22,35727,1190
AF,2020-07-23,35915,1211
AF,2020-07-24,35981,1225
AF,2020-07-25,36036,1246
AF,2020-07-26,36157,1259
AL,2020-03-09,2,0
AL,2020-03-10,6,0
AL,2020-03-11,10,0
AL,2020-03-12,23,0
AL,2020-03-13,33,1
AL,2020-03-14,38,1
AL,2020-03-15,42,1
AL,2020-03-16,51,1
AL,2020-03-17,55,1
AL,2020-03-18,59,2
AL,2020-03-19,70,2
AL,2020-03-20,70,2
AL,2020-03-21,76,2
AL,2020-03-22,76,2
AL,2020-03-23,89,2
AL,2020-03-24,123,4
AL,2020-03-25,146,5
AL,2020-03-26,174,5
AL,2020-03-27,186,8
AL,2020-03-28,197,9
AL,2020-03-29,212,10
AL,2020-03-30,223,10
AL,2020-03-31,223,11
AL,2020-04-01,243,13
AL,2020-04-02,277,15
AL,2020-04-03,277,16
AL,2020-04-04,333,17
AL,2020-04-05,333,18
AL,2020-04-06,377,21
AL,2020-04-07,377,22
AL,2020-04-08,400,22
AL,2020-04-09,409,22
AL,2020-04-10,416,23
AL,2020-04-11,416,23
AL,2020-04-12,446,23
AL,2020-04-13,446,23
AL,2020-04-14,475,23
AL,2020-04-15,475,24
AL,2020-04-16,494,25
AL,2020-04-17,518,26
AL,2020-04-18,548,26
AL,2020-04-19,548,26
AL,2020-04-20,562,26
AL,2020-04-21,609,26
AL,2020-04-22,634,26
AL,2020-04-23,634,27
AL,2020-04-24,678,27
AL,2020-04-25,678,27
AL,2020-04-26,712,27
AL,2020-04-27,726,28
AL,2020-04-28,736,28
AL,2020-04-29,766,30
AL,2020-04-30,773,31
AL,2020-05-01,773,31
AL,2020-05-02,789,31
AL,2020-05-03,795,31
AL,2020-05-04,803,31
AL,2020-05-05,820,31
AL,2020-05-06,832,31
AL,2020-05-07,832,31
AL,2020-05-08,850,31
AL,2020-05-09,856,31
AL,2020-05-10,868,31
AL,2020-05-11,868,31
AL,2020-05-12,872,31
AL,2020-05-13,876,31
AL,2020-05-14,880,31
AL,2020-05-15,898,31
AL,2020-05-16,933,31
AL,2020-05-17,946,31
AL,2020-05-18,948,31
AL,2020-05-19,948,31
