continent_code,date,cases,deaths
AF,2020-02-14,1,0
AF,2020-02-15,1,0
AF,2020-02-16,1,0
AF,2020-02-17,1,0
AF,2020-02-18,1,0
AF,2020-02-19,1,0
AF,2020-02-20,1,0
AF,2020-02-21,1,0
AF,2020-02-22,1,0
AF,2020-02-23,1,0
AF,2020-02-24,1,0
AF,2020-02-25,2,0
AF,2020-02-26,2,0
AF,2020-02-27,2,0
AF,2020-02-28,3,0
AF,2020-02-29,3,0
AF,2020-03-01,3,0
AF,2020-03-02,9,0
AF,2020-03-03,11,0
AF,2020-03-04,21,0
AF,2020-03-05,24,0
AF,2020-03-06,31,0
AF,2020-03-07,78,0
AF,2020-03-08,81,1
AF,2020-03-09,95,1
AF,2020-03-10,104,2
AF,2020-03-11,117,2
AF,2020-03-12,141,3
AF,2020-03-13,144,3
AF,2020-03-14,256,5
AF,2020-03-15,314,7
AF,2020-03-16,368,8
AF,2020-03-17,463,11
AF,2020-03-18,644,16
AF,2020-03-19,786,17
AF,2020-03-20,959,24
AF,2020-03-21,1174,33
AF,2020-03-22,1272,37
AF,2020-03-23,1547,45
AF,2020-03-24,1933,53
AF,2020-03-25,2464,61
AF,2020-03-26,3100,64
AF,2020-03-27,3452,80
AF,2020-03-28,3986,108
AF,2020-03-29,4380,123
AF,2020-03-30,5010,147
AF,2020-03-31,5474,162
AF,2020-04-01,5924,189
AF,2020-04-02,6719,234
AF,2020-04-03,7477,290
AF,2020-04-04,8448,335
AF,2020-04-05,9097,394
AF,2020-04-06,9743,422
AF,2020-04-07,10390,487
AF,2020-04-08,11164,538
AF,2020-04-09,12058,577
AF,2020-04-10,12763,635
AF,2020-04-11,13583,691
AF,2020-04-12,14249,736
AF,2020-04-13,15144,781
AF,2020-04-14,16018,834
AF,2020-04-15,17013,872
AF,2020-04-16,18130,909
AF,2020-04-17,19276,965
AF,2020-04-18,20445,1013
AF,2020-04-19,21592,1047
AF,2020-04-20,22926,1104
AF,2020-04-21,24298,1159
AF,2020-04-22,25342,1201
AF,2020-04-23,26470,1245
AF,2020-04-24,28496,1311
AF,2020-04-25,30071,1342
AF,2020-04-26,31377,1392
AF,2020-04-27,33166,1453
AF,2020-04-28,34470,1499
AF,2020-04-29,35880,1549
AF,2020-04-30,37715,1598
AF,2020-05-01,40284,1655
AF,2020-05-02,41932,1704
AF,2020-05-03,44007,1773
AF,2020-05-04,45621,1814
AF,2020-05-05,48738,1875
AF,2020-05-06,50874,1992
AF,2020-05-07,52643,2025
AF,2020-05-08,55442,2088
AF,2020-05-09,59284,2169
AF,2020-05-10,62567,2248
AF,2020-05-11,65265,2309
AF,2020-05-12,68003,2347
AF,2020-05-13,71569,2427
AF,2020-05-14,74640,2521
AF,2020-05-15,77295,2580
AF,2020-05-16,80121,2649
AF,2020-05-17,83393,2719
AF,2020-05-18,86988,2787
AF,2020-05-19,90076,2854
AF,2020-05-20,94474,2951
AF,2020-05-21,97656,3028
AF,2020-05-22,101862,3115
AF,2020-05-23,105736,3202
AF,2020-05-24,109835,3274
AF,2020-05-25,113516,3370
AF,2020-05-26,117802,3498
AF,2020-05-27,121601,3623
AF,2020-05-28,126783,3720
AF,2020-05-29,131626,3814
AF,2020-05-30,137150,3941
AF,2020-05-31,142955,4081
AF,2020-06-01,148623,4243
AF,2020-06-02,154355,4364
AF,2020-06-03,159334,4511
AF,2020-06-04,165039,4625
AF,2020-06-05,172129,4784
AF,2020-06-06,179265,4942
AF,2020-06-07,185969,5075
AF,2020-06-08,191682,5205
