date,cases,deaths
2020-01-04,1,0
2020-01-05,1,0
2020-01-06,4,0
2020-01-07,4,0
2020-01-08,4,0
2020-01-09,4,0
2020-01-10,4,0
2020-01-11,45,1
2020-01-12,45,1
2020-01-13,50,1
2020-01-14,55,1
2020-01-15,55,1
2020-01-16,55,1
2020-01-17,60,2
2020-01-18,77,2
2020-01-19,141,3
2020-01-20,223,4
2020-01-21,316,6
2020-01-22,470,9
2020-01-23,611,17
2020-01-24,890,25
2020-01-25,1367,41
2020-01-26,2069,56
2020-01-27,2862,80
2020-01-28,4648,106
2020-01-29,6144,132
2020-01-30,7912,170
2020-01-31,9926,213
2020-02-01,12044,259
2020-02-02,14645,305
2020-02-03,17478,362
2020-02-04,20736,426
2020-02-05,24641,492
2020-02-06,28351,565
2020-02-07,31512,638
2020-02-08,34923,724
2020-02-09,37585,813
2020-02-10,40579,910
2020-02-11,43060,1018
2020-02-12,45088,1115
2020-02-13,60257,1371
2020-02-14,64329,1384
2020-02-15,66994,1528
2020-02-16,69014,1670
2020-02-17,71076,1776
2020-02-18,72981,1874
2020-02-19,74762,2012
2020-02-20,75235,2128
2020-02-21,76287,2248
2020-02-22,77396,2361
2020-02-23,78356,2461
2020-02-24,79000,2625
2020-02-25,79825,2707
2020-02-26,80770,2768
2020-02-27,82148,2811
2020-02-28,83614,2868
2020-02-29,85473,2936
2020-03-01,87368,2981
2020-03-02,89676,3068
2020-03-03,92027,3148
2020-03-04,94231,3239
2020-03-05,96907,3340
2020-03-06,100660,3452
2020-03-07,104736,3548
2020-03-08,108575,3791
2020-03-09,112526,3996
2020-03-10,116996,4279
2020-03-11,123513,4634
2020-03-12,130363,4995
2020-03-13,140375,5479
2020-03-14,151450,5905
2020-03-15,162863,6631
2020-03-16,174703,7377
2020-03-17,189200,8180
2020-03-18,208365,9263
2020-03-19,230283,10465
2020-03-20,261579,12009
2020-03-21,286081,13743
2020-03-22,300323,14611
2020-03-23,338558,16625
2020-03-24,394882,18907
2020-03-25,426325,21275
2020-03-26,482944,24137
2020-03-27,525104,26813
2020-03-28,588093,30187
2020-03-29,650474,33623
2020-03-30,708566,36993
2020-03-31,766942,40645
2020-04-01,841934,44833
2020-04-02,915399,49800
2020-04-03,991264,54666
2020-04-04,1071687,61267
2020-04-05,1152675,67107
2020-04-06,1227789,72072
2020-04-07,1296909,77426
2020-04-08,1372725,84291
2020-04-09,1455959,90689
2020-04-10,1541809,98093
2020-04-11,1632548,105017
2020-04-12,1712187,111172
2020-04-13,1786500,116853
2020-04-14,1857023,122312
2020-04-15,1930259,128493
2020-04-16,2005722,136380
2020-04-17,2088439,148831
2020-04-18,2172534,155403
2020-04-19,2252330,162229
2020-04-20,2320601,167335
2020-04-21,2402444,172758
2020-04-22,2475500,179493
2020-04-23,2548392,186139
2020-04-24,2629552,192463
2020-04-25,2717934,198304
2020-04-26,2803914,204655
2020-04-27,2889833,209494
2020-04-28,2962989,213540
2020-04-29,3029991,218809
2020-04-30,3103588,224710
2020-05-01,3189510,231192
2020-05-02,3276906,236638
2020-05-03,3360576,245160
2020-05-04,3445148,248046
2020-05-05,3527351,250169
2020-05-06,3597250,254244
2020-05-07,3678864,260423
2020-05-08,3765212,265761
2020-05-09,3859003,272121
2020-05-10,3946954,276620
2020-05-11,4033498,281163
2020-05-12,4111248,284575
2020-05-13,4187118,288828
2020-05-14,4269916,293762
2020-05-15,4358311,298912
2020-05-16,4450391,304108
2020-05-17,4545216,308712
2020-05-18,4646550,313219
2020-05-19,4720408,316109
2020-05-20,4810857,319678
2020-05-21,4916954,324483
2020-05-22,5008107,328951
2020-05-23,5113831,333662
2020-05-24,5217439,338727
2020-05-25,5318828,342554
2020-05-26,5407361,345585
2020-05-27,5499274,349052
2020-05-28,5595564,353480
2020-05-29,5706344,358553
2020-05-30,5822757,363488
2020-05-31,5938706,367830
2020-06-01,6061940,371624
2020-06-02,6174669,374649
2020-06-03,6267859,378293
2020-06-04,6397185,383198
2020-06-05,6515304,388284
2020-06-06,6643028,393959
2020-06-07,6779178,398558
2020-06-08,6909869,402045
2020-06-09,7018294,405591
2020-06-10,7123405,409242
2020-06-11,7252151,414592
2020-06-12,7388505,419543
2020-06-13,7530492,424615
2020-06-14,7667636,428908
2020-06-15,7799276,432836
2020-06-16,7917793,436109
2020-06-17,8037475,441613
2020-06-18,8218704,446859
2020-06-19,8361495,452031
2020-06-20,8499951,457114
2020-06-21,8683242,461857
2020-06-22,8835855,465893
2020-06-23,8970043,469779
2020-06-24,9106143,473844
2020-06-25,9274526,479176
2020-06-26,9452097,484293
2020-06-27,9633061,491185
2020-06-28,9823227,495809
2020-06-29,10001811,499965
2020-06-30,10165361,503903
2020-07-01,10329340,508093
2020-07-02,10505840,512889
2020-07-03,10711937,517937
2020-07-04,10923450,523034
2020-07-05,11127888,528225
2020-07-06,11330553,532366
2020-07-07,11502394,535781
